signal,peaks,instant_rr,time,Channel_0
95.0,0.0,1186.6666666666667,241.69333333333333,0.0
113.0,0.0,1186.6666666666667,241.70666666666668,0.0
131.0,0.0,1186.6666666666667,241.72,0.0
148.0,0.0,1186.6666666666667,241.73333333333332,0.0
160.0,0.0,1186.6666666666667,241.74666666666667,0.0
167.0,0.0,1186.6666666666667,241.76,0.0
169.0,0.0,1186.6666666666667,241.77333333333334,0.0
168.0,1.0,1160.0,241.78666666666666,0.0
164.0,0.0,1160.0,241.8,0.0
159.0,0.0,1160.0,241.81333333333333,0.0
154.0,0.0,1160.0,241.82666666666665,0.0
150.0,0.0,1160.0,241.84,0.0
146.0,0.0,1160.0,241.85333333333332,0.0
143.0,0.0,1160.0,241.86666666666667,0.0
141.0,0.0,1160.0,241.88,0.0
139.0,0.0,1160.0,241.89333333333335,0.0
137.0,0.0,1160.0,241.90666666666667,0.0
134.0,0.0,1160.0,241.92,0.0
130.0,0.0,1160.0,241.93333333333334,0.0
126.0,0.0,1160.0,241.94666666666666,0.0
123.0,0.0,1160.0,241.96,0.0
119.0,0.0,1160.0,241.97333333333333,0.0
117.0,0.0,1160.0,241.98666666666668,0.0
115.0,0.0,1160.0,242.0,0.0
113.0,0.0,1160.0,242.01333333333332,0.0
112.0,0.0,1160.0,242.02666666666667,0.0
110.0,0.0,1160.0,242.04,0.0
109.0,0.0,1160.0,242.05333333333334,0.0
106.0,0.0,1160.0,242.06666666666666,0.0
104.0,0.0,1160.0,242.08,0.0
102.0,0.0,1160.0,242.09333333333333,0.0
99.0,0.0,1160.0,242.10666666666665,0.0
96.0,0.0,1160.0,242.12,0.0
93.0,0.0,1160.0,242.13333333333333,0.0
91.0,0.0,1160.0,242.14666666666668,0.0
89.0,0.0,1160.0,242.16,0.0
87.0,0.0,1160.0,242.17333333333335,0.0
86.0,0.0,1160.0,242.18666666666667,0.0
84.0,0.0,1160.0,242.2,0.0
83.0,0.0,1160.0,242.21333333333334,0.0
82.0,0.0,1160.0,242.22666666666666,0.0
82.0,0.0,1160.0,242.24,0.0
81.0,0.0,1160.0,242.25333333333333,0.0
80.0,0.0,1160.0,242.26666666666668,0.0
80.0,0.0,1160.0,242.28,0.0
79.0,0.0,1160.0,242.29333333333332,0.0
78.0,0.0,1160.0,242.30666666666667,0.0
78.0,0.0,1160.0,242.32,0.0
77.0,0.0,1160.0,242.33333333333334,0.0
76.0,0.0,1160.0,242.34666666666666,0.0
